Nepali Numbers,Nepali numbers in Roman,Numbers in English script,Nepali Numbers in Devnagiri,English numbers,Nepali numbers pronunciation
८४,chaurasee,84,चौरासी,Eighty-Four,caurāsī
८५,pachasee,85,पचासी,eighty-five,pacāsī
८६,chhayasee,86,छयासी,Eighty-six,chayāsī
८७,satasee,87,सतासी,eighty-seven,satāsī
८८,athasee,88,अठासी,Eighty-eight,aṭhāsī
८९,unanabbe,89,उनान्नब्बे,Eighty-nine,unānnabbē
९०,nabbe,90,नब्बे,ninety,nabbē
९१,ekanabbe,91,एकान्नब्बे,ninety-one,ēkānnabbē
९२,bayanabbe,92,बयानब्बे,ninety-two,bayānabbē
९३,kriyanabbe,93,त्रियान्नब्बे,ninety-three,triyānnabbē
९४,chauranabbe,94,चौरान्नब्बे,ninety-four,caurānnabbē
९५,paanchanabbe,95,पन्चानब्बे,ninety-five,pancānabbē
९६,chhyanabbe,96,छयान्नब्बे,ninety-six,chayānnabbē
९७,santanabbe,97,सन्तान्नब्बे,ninety-seven,santānnabbē
९८,anthanabbe,98,अन्ठान्नब्बे,ninety-eight,anṭhānnabbē
९९,unansai,99,उनान्सय,ninety-nine,unānsaya
१००,saya,100,सय,Hundred,saya
